# Part of a Penrose tessellation.
c	0.8	0.4	0.4
t	327	363	332	346	338	363
t	327	363	312	374	318	356
t	327	363	312	374	330	374
t	312	374	294	374	309	363
t	314	346	332	346	318	356
t	314	346	332	346	318	335
t	314	346	300	356	318	356
t	314	346	300	356	305	339
t	300	356	294	374	309	363
t	327	329	332	346	318	335
t	312	318	327	329	309	329
t	312	318	327	329	321	312
t	347	356	332	346	350	346
t	347	356	332	346	338	363
t	347	356	365	356	350	346
t	347	356	365	356	350	367
t	365	356	380	346	362	346
t	347	335	332	346	350	346
t	347	335	332	346	338	329
t	347	335	365	335	350	346
t	347	335	365	335	350	325
t	365	335	380	346	362	346
t	327	329	332	346	338	329
t	332	312	327	329	341	318
t	332	312	327	329	321	312
t	365	356	380	346	374	363
t	359	374	365	356	371	374
t	359	374	365	356	350	367
t	385	363	380	346	394	356
t	385	363	380	346	374	363
t	385	363	400	374	394	356
t	385	363	400	374	382	374
t	400	374	418	374	403	363
t	294	318	280	329	298	329
t	312	318	294	318	309	329
t	312	318	294	318	309	307
t	294	339	280	329	285	346
t	294	339	280	329	298	329
t	294	339	300	356	285	346
t	294	339	300	356	305	339
t	300	356	294	374	289	356
t	300	301	294	284	289	301
t	300	301	294	284	309	294
t	300	301	294	318	289	301
t	300	301	294	318	309	307
t	294	318	280	329	285	312
t	280	294	294	284	289	301
t	280	294	294	284	276	284
t	280	294	274	312	289	301
t	280	294	274	312	268	294
t	274	312	280	329	285	312
t	280	273	294	284	276	284
t	262	273	280	273	265	284
t	262	273	280	273	265	263
t	123	318	109	329	127	329
t	123	318	109	329	114	312
t	123	318	141	318	127	329
t	123	318	141	318	127	307
t	141	318	156	329	138	329
t	123	339	109	329	127	329
t	123	339	109	329	114	346
t	123	339	141	339	127	329
t	123	339	141	339	127	350
t	141	339	156	329	138	329
t	103	346	109	329	114	346
t	109	363	103	346	118	356
t	109	363	103	346	98	363
t	103	312	109	329	94	318
t	103	312	109	329	114	312
t	103	312	89	301	94	318
t	103	312	89	301	107	301
t	89	301	71	301	85	312
t	91	329	109	329	94	318
t	91	329	109	329	94	339
t	91	329	76	318	94	318
t	91	329	76	318	82	335
t	76	318	71	301	85	312
t	103	346	109	329	94	339
t	89	356	103	346	85	346
t	89	356	103	346	98	363
t	89	301	71	301	85	290
t	103	290	89	301	94	284
t	103	290	89	301	107	301
t	76	284	71	301	65	284
t	76	284	71	301	85	290
t	76	284	71	267	65	284
t	76	284	71	267	85	277
t	71	267	56	256	62	273
t	136	301	141	284	147	301
t	136	301	141	284	127	294
t	136	301	141	318	147	301
t	136	301	141	318	127	307
t	141	318	156	329	150	312
t	156	294	141	284	147	301
t	156	294	141	284	159	284
t	156	294	162	312	147	301
t	156	294	162	312	167	294
t	162	312	156	329	150	312
t	156	273	141	284	159	284
t	174	273	156	273	171	284
t	174	273	156	273	171	263
t	123	284	141	284	127	273
t	123	284	141	284	127	294
t	123	284	109	273	127	273
t	123	284	109	273	114	290
t	109	273	103	256	118	267
t	136	267	141	284	127	273
t	136	267	141	284	147	267
t	136	267	121	256	127	273
t	136	267	121	256	139	256
t	121	256	103	256	118	267
t	156	273	141	284	147	267
t	162	256	156	273	150	256
t	162	256	156	273	171	263
t	109	273	103	256	98	273
t	103	290	109	273	94	284
t	103	290	109	273	114	290
t	89	267	103	256	85	256
t	89	267	103	256	98	273
t	89	267	71	267	85	256
t	89	267	71	267	85	277
t	71	267	56	256	74	256
t	189	284	194	301	180	290
t	174	273	189	284	171	284
t	174	273	189	284	183	267
t	176	301	194	301	180	312
t	176	301	194	301	180	290
t	176	301	162	312	180	312
t	176	301	162	312	167	294
t	162	312	156	329	171	318
t	194	267	209	256	203	273
t	194	267	209	256	191	256
t	194	267	189	284	203	273
t	194	267	189	284	183	267
t	189	284	194	301	200	284
t	214	273	209	256	203	273
t	214	273	209	256	223	267
t	214	273	209	290	203	273
t	214	273	209	290	223	280
t	209	290	194	301	200	284
t	227	256	209	256	223	267
t	241	267	227	256	232	273
t	241	267	227	256	245	256
t	156	363	141	374	147	356
t	156	363	141	374	159	374
t	156	363	162	346	147	356
t	156	363	162	346	167	363
t	162	346	156	329	150	346
t	136	356	141	374	147	356
t	136	356	141	374	127	363
t	136	356	141	339	147	356
t	136	356	141	339	127	350
t	141	339	156	329	150	346
t	123	374	141	374	127	363
t	109	363	123	374	118	356
t	109	363	123	374	105	374
t	156	384	141	374	147	391
t	156	384	141	374	159	374
t	156	384	162	401	147	391
t	156	384	162	401	167	384
t	162	401	156	418	150	401
t	136	391	141	374	147	391
t	136	391	141	374	127	384
t	136	391	141	408	147	391
t	136	391	141	408	127	397
t	141	408	156	418	150	401
t	123	374	141	374	127	384
t	109	384	123	374	118	391
t	109	384	123	374	105	374
t	162	401	156	418	171	408
t	176	391	162	401	180	401
t	176	391	162	401	167	384
t	174	418	156	418	171	429
t	174	418	156	418	171	408
t	174	418	189	429	171	429
t	174	418	189	429	183	412
t	189	429	194	446	180	436
t	176	356	194	356	180	346
t	176	356	194	356	180	367
t	176	356	162	346	180	346
t	176	356	162	346	167	363
t	162	346	156	329	171	339
t	189	339	194	356	180	346
t	189	339	194	356	200	339
t	189	339	174	329	180	346
t	189	339	174	329	192	329
t	174	329	156	329	171	339
t	209	346	194	356	200	339
t	214	329	209	346	203	329
t	214	329	209	346	223	335
t	189	374	194	356	200	374
t	189	374	194	356	180	367
t	189	374	194	391	200	374
t	189	374	194	391	180	380
t	194	391	209	401	203	384
t	209	367	194	356	200	374
t	209	367	194	356	212	356
t	209	367	214	384	200	374
t	209	367	214	384	220	367
t	214	384	209	401	203	384
t	209	346	194	356	212	356
t	227	346	209	346	223	356
t	227	346	209	346	223	335
t	194	391	209	401	191	401
t	176	391	194	391	180	401
t	176	391	194	391	180	380
t	194	412	209	401	203	418
t	194	412	209	401	191	401
t	194	412	189	429	203	418
t	194	412	189	429	183	412
t	189	429	194	446	200	429
t	209	312	194	301	200	318
t	214	329	209	312	203	329
t	214	329	209	312	223	322
t	189	318	194	301	180	312
t	189	318	194	301	200	318
t	189	318	174	329	180	312
t	189	318	174	329	192	329
t	174	329	156	329	171	318
t	227	312	241	301	223	301
t	227	312	241	301	236	318
t	227	312	209	312	223	301
t	227	312	209	312	223	322
t	209	312	194	301	212	301
t	227	290	241	301	223	301
t	227	290	241	301	236	284
t	227	290	209	290	223	301
t	227	290	209	290	223	280
t	209	290	194	301	212	301
t	247	284	241	301	236	284
t	241	267	247	284	232	273
t	241	267	247	284	253	267
t	156	149	141	138	147	156
t	156	149	141	138	159	138
t	156	149	162	166	147	156
t	156	149	162	166	167	149
t	162	166	156	183	150	166
t	136	156	141	138	147	156
t	136	156	141	138	127	149
t	136	156	141	173	147	156
t	136	156	141	173	127	162
t	141	173	156	183	150	166
t	123	138	141	138	127	149
t	109	149	123	138	118	156
t	109	149	123	138	105	138
t	156	128	141	138	147	121
t	156	128	141	138	159	138
t	156	128	162	111	147	121
t	156	128	162	111	167	128
t	162	111	156	94	150	111
t	136	121	141	138	147	121
t	136	121	141	138	127	128
t	136	121	141	104	147	121
t	136	121	141	104	127	115
t	141	104	156	94	150	111
t	123	138	141	138	127	128
t	109	128	123	138	118	121
t	109	128	123	138	105	138
t	162	111	156	94	171	104
t	176	121	162	111	180	111
t	176	121	162	111	167	128
t	174	94	156	94	171	83
t	174	94	156	94	171	104
t	174	94	189	83	171	83
t	174	94	189	83	183	100
t	189	83	194	66	180	76
t	176	156	194	156	180	166
t	176	156	194	156	180	145
t	176	156	162	166	180	166
t	176	156	162	166	167	149
t	162	166	156	183	171	173
t	189	173	194	156	180	166
t	189	173	194	156	200	173
t	189	173	174	183	180	166
t	189	173	174	183	192	183
t	174	183	156	183	171	173
t	209	166	194	156	200	173
t	214	183	209	166	203	183
t	214	183	209	166	223	177
t	189	138	194	156	200	138
t	189	138	194	156	180	145
t	189	138	194	121	200	138
t	189	138	194	121	180	132
t	194	121	209	111	203	128
t	209	145	194	156	200	138
t	209	145	194	156	212	156
t	209	145	214	128	200	138
t	209	145	214	128	220	145
t	214	128	209	111	203	128
t	209	166	194	156	212	156
t	227	166	209	166	223	156
t	227	166	209	166	223	177
t	194	121	209	111	191	111
t	176	121	194	121	180	111
t	176	121	194	121	180	132
t	194	100	209	111	203	94
t	194	100	209	111	191	111
t	194	100	189	83	203	94
t	194	100	189	83	183	100
t	189	83	194	66	200	83
t	209	200	194	211	200	194
t	214	183	209	200	203	183
t	214	183	209	200	223	190
t	189	194	194	211	180	200
t	189	194	194	211	200	194
t	189	194	174	183	180	200
t	189	194	174	183	192	183
t	174	183	156	183	171	194
t	227	200	241	211	223	211
t	227	200	241	211	236	194
t	227	200	209	200	223	211
t	227	200	209	200	223	190
t	209	200	194	211	212	211
t	227	222	241	211	223	211
t	227	222	241	211	236	228
t	227	222	209	222	223	211
t	227	222	209	222	223	232
t	209	222	194	211	212	211
t	247	228	241	211	236	228
t	241	245	247	228	232	239
t	241	245	247	228	253	245
t	123	194	109	183	127	183
t	123	194	109	183	114	200
t	123	194	141	194	127	183
t	123	194	141	194	127	205
t	141	194	156	183	138	183
t	123	173	109	183	127	183
t	123	173	109	183	114	166
t	123	173	141	173	127	183
t	123	173	141	173	127	162
t	141	173	156	183	138	183
t	103	166	109	183	114	166
t	109	149	103	166	118	156
t	109	149	103	166	98	149
t	103	200	109	183	94	194
t	103	200	109	183	114	200
t	103	200	89	211	94	194
t	103	200	89	211	107	211
t	89	211	71	211	85	200
t	91	183	109	183	94	194
t	91	183	109	183	94	173
t	91	183	76	194	94	194
t	91	183	76	194	82	177
t	76	194	71	211	85	200
t	103	166	109	183	94	173
t	89	156	103	166	85	166
t	89	156	103	166	98	149
t	89	211	71	211	85	222
t	103	222	89	211	94	228
t	103	222	89	211	107	211
t	76	228	71	211	65	228
t	76	228	71	211	85	222
t	76	228	71	245	65	228
t	76	228	71	245	85	235
t	71	245	56	256	62	239
t	136	211	141	228	147	211
t	136	211	141	228	127	218
t	136	211	141	194	147	211
t	136	211	141	194	127	205
t	141	194	156	183	150	200
t	156	218	141	228	147	211
t	156	218	141	228	159	228
t	156	218	162	200	147	211
t	156	218	162	200	167	218
t	162	200	156	183	150	200
t	156	239	141	228	159	228
t	174	239	156	239	171	228
t	174	239	156	239	171	249
t	123	228	141	228	127	239
t	123	228	141	228	127	218
t	123	228	109	239	127	239
t	123	228	109	239	114	222
t	109	239	103	256	118	245
t	136	245	141	228	127	239
t	136	245	141	228	147	245
t	136	245	121	256	127	239
t	136	245	121	256	139	256
t	121	256	103	256	118	245
t	156	239	141	228	147	245
t	162	256	156	239	150	256
t	162	256	156	239	171	249
t	109	239	103	256	98	239
t	103	222	109	239	94	228
t	103	222	109	239	114	222
t	89	245	103	256	85	256
t	89	245	103	256	98	239
t	89	245	71	245	85	256
t	89	245	71	245	85	235
t	71	245	56	256	74	256
t	189	228	194	211	180	222
t	174	239	189	228	171	228
t	174	239	189	228	183	245
t	176	211	194	211	180	200
t	176	211	194	211	180	222
t	176	211	162	200	180	200
t	176	211	162	200	167	218
t	162	200	156	183	171	194
t	194	245	209	256	203	239
t	194	245	209	256	191	256
t	194	245	189	228	203	239
t	194	245	189	228	183	245
t	189	228	194	211	200	228
t	214	239	209	256	203	239
t	214	239	209	256	223	245
t	214	239	209	222	203	239
t	214	239	209	222	223	232
t	209	222	194	211	200	228
t	227	256	209	256	223	245
t	241	245	227	256	232	239
t	241	245	227	256	245	256
t	327	128	332	111	318	121
t	327	128	332	111	338	128
t	327	128	312	138	318	121
t	327	128	312	138	330	138
t	312	138	294	138	309	128
t	314	111	332	111	318	121
t	314	111	332	111	318	100
t	314	111	300	121	318	121
t	314	111	300	121	305	104
t	300	121	294	138	309	128
t	327	94	332	111	318	100
t	312	83	327	94	309	94
t	312	83	327	94	321	76
t	347	121	332	111	350	111
t	347	121	332	111	338	128
t	347	121	365	121	350	111
t	347	121	365	121	350	132
t	365	121	380	111	362	111
t	347	100	332	111	350	111
t	347	100	332	111	338	94
t	347	100	365	100	350	111
t	347	100	365	100	350	89
t	365	100	380	111	362	111
t	327	94	332	111	338	94
t	332	76	327	94	341	83
t	332	76	327	94	321	76
t	365	121	380	111	374	128
t	359	138	365	121	371	138
t	359	138	365	121	350	132
t	385	128	380	111	394	121
t	385	128	380	111	374	128
t	385	128	400	138	394	121
t	385	128	400	138	382	138
t	400	138	418	138	403	128
t	327	149	332	166	318	156
t	327	149	332	166	338	149
t	327	149	312	138	318	156
t	327	149	312	138	330	138
t	312	138	294	138	309	149
t	314	166	332	166	318	156
t	314	166	332	166	318	177
t	314	166	300	156	318	156
t	314	166	300	156	305	173
t	300	156	294	138	309	149
t	327	183	332	166	318	177
t	312	194	327	183	309	183
t	312	194	327	183	321	200
t	347	156	332	166	350	166
t	347	156	332	166	338	149
t	347	156	365	156	350	166
t	347	156	365	156	350	145
t	365	156	380	166	362	166
t	347	177	332	166	350	166
t	347	177	332	166	338	183
t	347	177	365	177	350	166
t	347	177	365	177	350	187
t	365	177	380	166	362	166
t	327	183	332	166	338	183
t	332	200	327	183	341	194
t	332	200	327	183	321	200
t	365	156	380	166	374	149
t	359	138	365	156	371	138
t	359	138	365	156	350	145
t	385	149	380	166	394	156
t	385	149	380	166	374	149
t	385	149	400	138	394	156
t	385	149	400	138	382	138
t	400	138	418	138	403	149
t	294	194	280	183	298	183
t	312	194	294	194	309	183
t	312	194	294	194	309	205
t	294	173	280	183	285	166
t	294	173	280	183	298	183
t	294	173	300	156	285	166
t	294	173	300	156	305	173
t	300	156	294	138	289	156
t	300	211	294	228	289	211
t	300	211	294	228	309	218
t	300	211	294	194	289	211
t	300	211	294	194	309	205
t	294	194	280	183	285	200
t	280	218	294	228	289	211
t	280	218	294	228	276	228
t	280	218	274	200	289	211
t	280	218	274	200	268	218
t	274	200	280	183	285	200
t	280	239	294	228	276	228
t	262	239	280	239	265	228
t	262	239	280	239	265	249
t	274	111	280	94	285	111
t	274	111	280	94	265	104
t	274	111	280	128	285	111
t	274	111	280	128	265	117
t	280	128	294	138	289	121
t	294	104	280	94	285	111
t	294	104	280	94	298	94
t	294	104	300	121	285	111
t	294	104	300	121	305	104
t	300	121	294	138	289	121
t	294	83	280	94	298	94
t	312	83	294	83	309	94
t	312	83	294	83	309	72
t	262	94	280	94	265	83
t	262	94	280	94	265	104
t	262	94	247	83	265	83
t	262	94	247	83	253	100
t	247	83	241	66	256	76
t	274	76	280	94	265	83
t	274	76	280	94	285	76
t	274	76	259	66	265	83
t	274	76	259	66	277	66
t	259	66	241	66	256	76
t	294	83	280	94	285	76
t	300	66	294	83	289	66
t	300	66	294	83	309	72
t	247	83	241	66	236	83
t	241	100	247	83	232	94
t	241	100	247	83	253	100
t	227	76	241	66	223	66
t	227	76	241	66	236	83
t	227	76	209	76	223	66
t	227	76	209	76	223	87
t	209	76	194	66	212	66
t	262	128	247	138	265	138
t	262	128	247	138	253	121
t	262	128	280	128	265	138
t	262	128	280	128	265	117
t	280	128	294	138	276	138
t	262	149	247	138	265	138
t	262	149	247	138	253	156
t	262	149	280	149	265	138
t	262	149	280	149	265	160
t	280	149	294	138	276	138
t	241	156	247	138	253	156
t	247	173	241	156	256	166
t	247	173	241	156	236	173
t	241	121	247	138	232	128
t	241	121	247	138	253	121
t	241	121	227	111	232	128
t	241	121	227	111	245	111
t	227	111	209	111	223	121
t	229	138	247	138	232	128
t	229	138	247	138	232	149
t	229	138	214	128	232	128
t	229	138	214	128	220	145
t	214	128	209	111	223	121
t	241	156	247	138	232	149
t	227	166	241	156	223	156
t	227	166	241	156	236	173
t	227	111	209	111	223	100
t	241	100	227	111	232	94
t	241	100	227	111	245	111
t	214	94	209	111	203	94
t	214	94	209	111	223	100
t	214	94	209	76	203	94
t	214	94	209	76	223	87
t	209	76	194	66	200	83
t	262	183	280	183	265	173
t	247	173	262	183	256	166
t	247	173	262	183	244	183
t	274	166	280	183	285	166
t	274	166	280	183	265	173
t	274	166	280	149	285	166
t	274	166	280	149	265	160
t	280	149	294	138	289	156
t	247	194	241	211	256	200
t	247	194	241	211	236	194
t	247	194	262	183	256	200
t	247	194	262	183	244	183
t	262	183	280	183	265	194
t	259	211	241	211	256	200
t	259	211	241	211	256	222
t	259	211	274	200	256	200
t	259	211	274	200	268	218
t	274	200	280	183	265	194
t	247	228	241	211	256	222
t	262	239	247	228	265	228
t	262	239	247	228	253	245
c	0.4	0.4	0.8
t	394	301	403	294	400	284
t	394	301	391	290	400	284
t	403	273	394	267	385	273
t	427	256	423	267	412	267
t	427	256	416	256	412	267
t	403	273	394	267	398	256
t	427	256	423	267	432	273
t	456	256	447	263	438	256
t	394	301	403	294	412	301
t	394	301	403	307	412	301
t	423	301	427	312	418	318
t	447	284	436	284	432	294
t	447	284	444	294	432	294
t	423	301	427	312	438	312
